I_ID,I_IM_ID,I_NAME,I_PRICE,I_DATA,
111029,70854,Item1,42556,62b95f0f-b45f-4254-950f-8fa7cb738126,
39035,158866,Item2,69359,d325cbbc-d031-414f-aa31-51b9fcfe72d9,
154006,99535,Item3,49191,c97a1344-4553-4107-897a-55c8df4c2649,
169904,8042,Item4,49835,2a3c5569-38be-4796-9d6e-552120470b58,
94702,94993,Item5,43319,47877fb6-c968-4d02-981a-17ed556f2853,
137384,53211,Item6,25569,7bbcf773-4fc0-43e2-9365-f5f73b1d974b,
102353,187450,Item7,61157,c84b1009-46f6-4fa3-ad3c-e56e51e9abf6,
67487,86232,Item8,65910,1b0ccab7-3395-4b79-9fa6-9bd592bb889d,
140155,78358,Item9,31617,e1978695-ef53-43d3-bd90-1c8f5555907e,
182800,111062,Item10,92622,840bcac6-090c-47e3-9ecf-adcdeaf2339e,
137921,167216,Item11,94318,614bceea-cb74-4fa5-b3cb-f22f88e45df3,
67746,179526,Item12,55972,1ad49ee1-0a56-45f5-ba5f-9c9abe1ed763,
50559,175625,Item13,20832,117b0a5a-dabb-4019-b755-cdbc019924e2,
119078,71191,Item14,96889,ecb25ccc-1050-4440-82ba-fde6af65c942,
38848,146446,Item15,26260,d06a0d47-9688-4933-b5a4-179acb19f324,
196373,65869,Item16,77264,e98911cb-7c9c-4add-9fe1-44fa78b14cdf,
196440,106082,Item17,58736,a5dea87b-4bc2-4de2-bc89-314b869f736c,
18948,28169,Item18,75624,7a4df4f4-a441-48dc-8ba6-7a697cecee98,
185085,177835,Item19,87811,3a4beda9-fb67-429b-ae54-b482ec2e7e08,
51902,60448,Item20,20991,32debe46-9537-43ac-bba3-f65b256b199c,
138676,58745,Item21,70972,5e17e203-b102-45c4-b24b-f81d83e636f5,
89651,113511,Item22,18467,94ca70a2-1bc6-422e-a404-4b63a16effdd,
68256,158779,Item23,38816,0269e2ca-7e52-47ec-b9aa-94014b06d2e9,
113493,31388,Item24,93365,69ba302d-2339-4a25-80f8-42f8309ceb33,
110581,140783,Item25,10829,bd794578-55aa-4938-9b16-832315ebf708,
181448,83682,Item26,98954,c4e43738-9e47-4ea1-bf4a-0b3f7ffed199,
81172,85872,Item27,23856,5c15f03c-b4b2-4a29-b11a-229d8ed086e2,
143224,170505,Item28,56360,8980c413-cc52-480e-9b74-f65b8d661241,
140892,89326,Item29,26552,fdb1713c-7533-4d83-b037-f778a9561363,
77943,13385,Item30,54133,0698bc8b-54e0-4cad-a5a1-c6131efc100f,
88437,116482,Item31,94266,eee72f98-f85e-42e9-ab34-d3df2b29a845,
172808,41123,Item32,42450,1a3384fb-41fe-4795-8a23-d9e211d495b3,
127758,120035,Item33,77716,9bf1fb1f-91c3-40b6-be43-50bc14ed050a,
20795,91222,Item34,70981,47643de9-767d-4b84-a8c7-fea17302ae2c,
10991,46069,Item35,54440,55db1df0-9ce2-4c59-b064-b84d7a9ef4be,
66489,151657,Item36,65958,84216368-7d57-4aa8-9713-6fde11dfa79e,
158428,195421,Item37,67697,09a7013d-b57e-49dc-94e7-9ce7b5868139,
1231,19691,Item38,16830,684f7191-55aa-40d2-902f-6dee38ab5258,
145175,122567,Item39,92372,6bffc516-69bf-4bcf-b078-84c2336f0457,
159778,36752,Item40,14688,5adada85-9c98-4694-9192-3aebecf6018c,
10123,61690,Item41,70188,78d8dc31-7f73-416f-af9e-0b5da153a9b8,
136919,132590,Item42,77201,473ff0ce-0005-478d-af7f-e3885a1d67dd,
180818,188142,Item43,86688,52e23957-1244-45fe-acbe-2b72075cde35,
188048,166929,Item44,89468,62ce22f3-e2c2-4e2a-a5da-e01e15074980,
64685,124954,Item45,23870,932cd1af-1b39-4608-a577-47bf6badf40c,
145167,60337,Item46,78569,ba28ed1a-efc2-4271-8264-2882279d3d1f,
83039,163791,Item47,94962,c044124e-b7b4-41bb-8c99-9619b6b9ed4b,
39427,153296,Item48,25955,d2571fb7-fd11-4bb2-830e-eaf5d106a2fd,
22894,16018,Item49,70834,1d26cc5c-9996-4b49-b119-8aa8ebf36459,
121983,197268,Item50,15435,c10d78f7-d2c4-439c-9eda-0b2d325bf987,
158925,73729,Item51,31046,38d0d2fe-6d32-4871-8458-eefe37bb67bb,
193247,65553,Item52,12563,f6d57dd0-80c7-4ad9-a00e-44eace3a4501,
13900,127450,Item53,41183,b8ebf41d-450a-4465-ae18-a330de27d301,
141499,154958,Item54,50794,af4b3cb6-5cbe-4451-b2fd-a229543fdb56,
142934,144171,Item55,32358,06754dfd-7206-4a96-ab19-a546f680824f,
38301,39587,Item56,90778,13c75bc7-4743-404a-9f7c-2f713dd31ee7,
161088,97538,Item57,58323,f6c3b0b5-fe75-4c69-a99b-192cab957bf6,
1327,21631,Item58,86598,1d729bad-1780-4a15-9c71-c45685385d23,
3792,5103,Item59,11570,25b73149-acb6-4a1b-923f-804c6d22ad37,
4375,115197,Item60,39249,fbfff7a8-7310-49e5-bebb-179bca96e4ea,
187704,162735,Item61,86930,aabc2790-a224-46ab-b61b-5c105470b3ff,
156817,190218,Item62,66120,ac21d339-6496-4a2e-968c-a8f6ff696d62,
884,73781,Item63,70999,2d8e8a9a-722e-4ccb-84e7-4140ac8d28e3,
186111,14964,Item64,31036,c8290836-9842-441b-af21-c4f125df8fa5,
23925,103587,Item65,38286,4de9e689-7f41-4a3c-9df8-714ed307008e,
110854,166161,Item66,43282,0c31111a-5ca3-43f5-8ddc-98348699d61f,
99574,5194,Item67,52152,2e7fa93b-c1c1-4bd4-8d9f-f9dc43dd3fc9,
89938,152090,Item68,14205,89daec94-b216-4d7a-ae6c-a4c06aca5615,
11629,168630,Item69,15744,f3127da8-bd87-4f0d-a366-79ae74b389a8,
55644,121009,Item70,34933,f570c1c2-5c3f-479f-a94c-cd011f64c056,
192558,57377,Item71,87321,9c865251-6b71-40a8-ab9c-519541b778d8,
92841,138008,Item72,89523,0f62f7fe-0c23-4864-a881-eaccd14dea17,
193920,76647,Item73,76474,d678fa7e-66b3-4c54-be37-cb91fbf7107a,
199143,18951,Item74,70854,4de107e7-9f9a-4f4a-92c0-d86fb6ea79d0,
68341,138441,Item75,34934,48839fe8-ceff-41fc-ac28-ae6bdf5a2248,
166042,49806,Item76,25474,69db9975-6c27-410e-83c4-53d70258a643,
123557,169665,Item77,54289,8874c34a-013d-4482-920e-0ac2db712b89,
151132,110820,Item78,42805,0e1235cd-70a3-489c-b571-49d4906ef6d8,
118093,177359,Item79,45411,ebdf1c53-2e53-4704-9b4f-0dbb03d64770,
187082,113077,Item80,19985,f7a8bcb0-8ba2-4369-9968-856a1f65947d,
27724,17462,Item81,12353,21287b7a-5a93-45e8-83d7-98d5eaa58cd9,
192550,63757,Item82,78328,1a88d8a4-27ee-451c-b76d-a61f1084affc,
178602,92006,Item83,29717,22d40414-c887-4bc2-8f35-a9b64304fcd3,
140648,57487,Item84,60359,e0529b0f-f235-4e63-bb95-e94840c95701,
26191,58864,Item85,53917,1a59efef-3fdd-439c-9478-28cf3a8173db,
6651,174556,Item86,97238,4b4e981d-00eb-4b45-811f-4969d7f4c5f8,
71724,15625,Item87,38488,386b7463-1138-4e66-b390-df5d40c10f3f,
91414,10422,Item88,17709,25f5e333-754f-464e-aae4-acffbcd99c51,
15707,5989,Item89,93784,1306767e-f715-400f-b238-29f966951116,
111594,912,Item90,48703,e9ddfd6a-2e2e-4584-b755-9cb6a863e31e,
119682,186883,Item91,35648,4252ab5d-1fd4-4764-94e5-506b63f90fa2,
1497,8305,Item92,19875,7617a1ea-ee3f-4eb9-81f7-d79b0e3955ad,
5530,134613,Item93,23188,70838804-b328-4204-a5ec-22848893b8a1,
1543,137103,Item94,84672,d520a3e2-d3cf-40b9-94f4-2663e53a7c7b,
190768,8815,Item95,36753,af3b2cfc-2028-464b-94e9-b8b31d873c88,
60569,25677,Item96,37301,53479ae2-690e-4f48-867d-ef90732b51cf,
117352,37199,Item97,15991,9fe3b842-f2c7-4d38-93cf-46755028e858,
76913,159348,Item98,71022,5db05eea-d663-4dcd-85a9-682b1b3fbd00,
61441,38438,Item99,88985,d69ab6ba-0230-411a-8d5c-04b43613e536,
198478,48926,Item100,69606,1fc0f852-8eff-4387-a988-3fce5cb99c8f,
147420,124654,Item101,64669,5fb2711e-1e80-4a14-a5f9-2bdcae6873cd,
24342,170890,Item102,11263,3a6f8819-f8f0-46f1-99fe-f9217a72f28d,
68488,81520,Item103,36634,3a162be7-026d-4fd2-bf19-f76d1462a4ec,
58202,154498,Item104,96715,9dc16778-c2fe-4c49-9bde-e74e6ed4fde6,
129468,128763,Item105,80427,0faeaaf6-826c-4d0a-8e3d-b455b571fd1c,
193056,88039,Item106,48865,6a64492e-dc5f-40e8-8722-aceb271ff48d,
168912,135896,Item107,93217,c581ee63-ba12-4f1a-896a-dc0c086c5340,
121233,190764,Item108,67322,6a2644c1-819d-4e7a-9e99-e139b4b8e722,
134192,79227,Item109,22940,0c642ac5-84b6-4b33-b088-742c1d7beab5,
106714,25773,Item110,83398,0f4b8003-f8b5-4dbe-8a76-b747855d9da6,
25358,51952,Item111,68972,b6a2fb57-362e-430d-bf20-5b68fac5396d,
98014,108127,Item112,49170,d093812f-f246-4ad3-ae30-e98a62ad2655,
194251,107663,Item113,21762,b010787b-035e-4c8c-88a9-ca0f21ce2810,
148408,65122,Item114,92498,6ca9ad14-94cf-42ad-afbc-a78440b987ee,
191344,60333,Item115,10325,07ba797f-69b1-47fa-b3e3-d20980f42961,
122754,33808,Item116,70208,3238532a-c2e4-41fc-844b-8f94476a413f,
153414,165396,Item117,73199,3d71d13f-fd15-4af8-ae22-e19461feaab4,
61431,114470,Item118,26422,2d933f16-78bb-47c2-89db-eba977d0d9f1,
83288,154617,Item119,86195,17587d16-ca13-4bd9-9382-bfb48e63fcd8,
125031,45674,Item120,27019,18b49b5d-30a8-4677-b7e8-556a2f784d13,
4244,132749,Item121,73598,99f7ff53-1f26-4873-b9d7-6174a2937981,
19512,112992,Item122,14425,19aa5b32-b3c0-47cf-a9b1-cbc74897fa9e,
195217,110669,Item123,84490,f6ecdf8e-408d-4dd8-a21b-b57309d81574,
189780,63795,Item124,77047,6e7c6cc7-e7cd-4eab-9c04-98d5ea0823d8,
100804,44601,Item125,82404,91e7ac74-b407-4464-a945-f1ebc886f8be,
37622,66885,Item126,32552,85a75769-25fe-4de1-bbff-ecf1294f4bec,
137303,74532,Item127,41000,e9f24a50-4477-4a5a-b71b-94c80a3a5cad,
162814,148881,Item128,84218,f3379f6d-95ef-4c91-8f08-6a3de2703d3c,
111203,60275,Item129,46125,26c05dcc-d1ef-4ee9-9f12-49767b7e407f,
18088,157647,Item130,60536,36ec20ad-6c78-4b11-81f9-e783cd961b99,
160738,157231,Item131,72028,02f03ef4-999c-4251-9f0e-c1812f63d4db,
10769,173524,Item132,63224,b56b9c07-c504-41af-a046-dde65da63ff2,
109322,165438,Item133,97344,87c40d44-898d-4c54-8632-f1ed32410cd3,
156620,16548,Item134,81464,b8d0e56b-8b24-479f-8b92-f637d87088c8,
69241,137497,Item135,41603,3114afb7-c709-4dcb-b038-ad6e5eaebbc8,
102374,115181,Item136,16456,54298d94-2014-4338-bfbb-4bec63d501cf,
195933,9450,Item137,41350,8566954b-fd04-4e0b-b14a-8d7b8e2d989f,
169017,20569,Item138,81623,90dd767f-b9f1-43e2-a7c8-e736bd511c2d,
11358,192384,Item139,73827,a7017880-b0b8-476a-ba0a-91a7b21b723f,
42206,109083,Item140,38894,37d7aa3b-62ca-4387-82e1-9972a029ae4f,
86481,153736,Item141,16572,b23d013c-4e42-4cae-a317-c3d844ed998d,
41661,132490,Item142,69519,b10d352e-c6ba-4d38-86af-b188510a1787,
197973,150978,Item143,41077,843c6767-c1c3-428a-a10c-896ed224e6f2,
158586,94783,Item144,90563,89618ac4-673f-4fd1-8457-e1f5a1952ad6,
6080,135033,Item145,64074,23eb197d-165d-4582-af03-b7f6ee4ae571,
157578,181401,Item146,42438,c82bf0f5-4e89-4d5a-a543-14a4699a87ea,
95843,97781,Item147,99102,ce5578d1-8f4b-471e-a2f5-0cf413b7714c,
24061,191764,Item148,63158,4a1a1575-6cac-46b6-a1b3-ad563e836a44,
191904,131932,Item149,35593,34c8c441-36ed-4532-a79a-2fd0134907e5,
104720,159823,Item150,56108,d3e6b7da-fc3c-44ec-9c19-98d6e34935c6,
110706,40111,Item151,70839,8c3476e2-2355-48d0-8591-b038fd8ae9d2,
69877,47619,Item152,17306,fbc5fad4-31a3-4618-8d8a-d99bf34dd680,
118947,64001,Item153,39285,9a358811-3bd9-48a9-9799-1208fcb2ffde,
34214,99748,Item154,18065,a1b0ff15-0652-4266-898d-8ba16874f2b3,
192428,197760,Item155,11743,c38fc1c1-0f4d-4874-b198-be6d718f3b88,
45156,116467,Item156,79620,9b7e4f2f-cd33-4f74-b59c-3b698c9ca2a1,
37158,49783,Item157,57248,5aacf805-09a1-4675-934c-390fa462bef1,
103782,182297,Item158,48095,3fd41eed-2ddb-4502-bc5b-9746293482a8,
169870,73369,Item159,70799,1a9b2f38-8ecf-42db-b5a0-c620708a87cd,
166962,145894,Item160,94152,9f25b8e5-48b0-43d0-bd24-e70dccfd50c8,
136365,103325,Item161,59126,e0d88002-6b07-473b-9d84-d3ff5b83a1f1,
115106,134319,Item162,99810,17971c08-c4be-44fd-9d18-1d37b799524e,
154581,18418,Item163,93027,5ad936f2-2aa7-4872-bb9e-af7b3392dace,
109220,77352,Item164,91151,cb99bb39-6971-4081-9298-59961ef83f28,
39891,158463,Item165,61685,f768dcf1-0e02-4e63-9a47-c99ff51ee385,
133804,70130,Item166,25835,d8f9d713-307b-4d81-b212-b12ff7c1a818,
40143,122421,Item167,11230,420a4eb2-2548-4934-98da-fed6378cd56f,
86430,98044,Item168,97136,5e04fb2b-0e2f-4df4-a65c-ed807a90cc20,
168614,175879,Item169,75096,5a865dd4-75a1-4194-bec9-c76f818eb9ce,
66859,147755,Item170,25337,734afb0b-181f-4c5a-822a-79accb58939a,
